POI_ID,FAC_TYPE,POI_NAME,IN_VICIN,POINT_X,POINT_Y,FAC_NAME,DTMN11,FR11,SEC11,SS11,BGRI11,LUG11,LUG11DESIG
"1143826074","5800",SEDUÇ?O,N,-9.13165,38.71036,Restaurante,"1106","52","001","02","11065200102","022406",Lisboa
"1143826073","5800",ALPENDRE,N,-9.13209,38.71022,Restaurante,"1106","52","001","02","11065200102","022406",Lisboa
"1143826072","5800",RIO COURA,N,-9.13203,38.71024,Restaurante,"1106","52","001","02","11065200102","022406",Lisboa
"1131773178","5800",LOJA DAS SOPAS,N,-9.1604,38.72421,Restaurante,"1106","46","003","01","11064600301","022406",Lisboa
"1131773198","5800",NOORI,N,-9.1604,38.72421,Restaurante,"1106","46","003","01","11064600301","022406",Lisboa
"1115674008","5800",ALMA LUSITANA,N,-9.144,38.70524,Restaurante,"1106","49","005","13","11064900513","022406",Lisboa
"69992527","5800",M?E D'ÁGUA,N,-9.15539,38.72184,Restaurante,"1106","46","005","05","11064600505","022406",Lisboa
"842821085","5800",MCDONALD'S,N,-9.15244,38.72199,Restaurante,"1106","46","004","01","11064600401","022406",Lisboa
"67177158","5800",CAFÉ DA PALHA,N,-9.09249,38.77243,Restaurante,"1106","33","027","01","11063302701","022406",Lisboa
"69992501","5800",TI ADELAIDE,N,-9.20123,38.75257,Restaurante,"1106","08","027","01","11060802701","022406",Lisboa
"67179913","5800",XURRASC?O DO TEJO,N,-9.15293,38.70616,Restaurante,"1106","37","007","07","11063700707","022406",Lisboa
"998686716","5800",O TASCO,N,-9.10427,38.73573,Restaurante,"1106","21","054","07","11062105407","022406",Lisboa
"998686717","5800",FALÉSIA DAS OLAIAS,N,-9.12397,38.74022,Restaurante,"1106","03","013","01","11060301301","022406",Lisboa
"1039019294","9996",A BRASILEIRA,N,-9.14205,38.71062,Café,"1106","27","001","08","11062700108","022406",Lisboa
"998686723","5800",JARDIM DO POÇO DO BISPO,N,-9.10246,38.74222,Restaurante,"1106","21","035","03","11062103503","022406",Lisboa
"998686724","5800",A BOMBA,N,-9.11706,38.73594,Restaurante,"1106","07","004","04","11060700404","022406",Lisboa
"69992649","5800",ADEGA BASTARDINHO,N,-9.15868,38.71976,Restaurante,"1106","30","006","01","11063000601","022406",Lisboa
"69992512","5800",CASAS DE FADOS CRISTAL,N,-9.14379,38.713,Restaurante,"1106","15","003","05","11061500305","022406",Lisboa
"1137765891","5800",DONG HAI II,N,-9.17988,38.74814,Restaurante,"1106","39","021","03","11063902103","022406",Lisboa
"1130801618","5800",COMIDA DA RIBEIRA,N,-9.1579,38.70554,Restaurante,"1106","37","007","07","11063700707","022406",Lisboa
"1143826111","5800",SOL E MAR,N,-9.13375,38.70876,Restaurante,"1106","19","002","09","11061900209","022406",Lisboa
